Scientific Name,Common Name,Habit,Family
Schoenoplectus americanus,American Bulrush,PG,Cyperaceae
Scrophularia californica,Calfornia Figwort,PH,Scrophulariaceae
Sedum spathulifolium,Pacific Stonecrop,PH,Crassulaceae
Senecio aronicoides,California Groundsel,PH,Asteraceae
Senecio flaccidus var. douglasii,Shrubby Butterweed,S,Asteraceae
Senecio triangularis,Arrowleaf Ragwort,PH,Asteraceae
Senecio vulgaris,Common Groundsel,AH,Asteraceae
Senegalia greggii,Catclaw,T,Fabaceae
Sequoia sempervirens,Coast Redwood,T,Cupressaceae
Sequoiadendron giganteum,"Big Tree, Giant Sequoia",T,Cupressaceae
Sidalcea spp.,"Checkerblooms, Globemallows",PH,Malvaceae
Silene gallica,Windmill Pink,AH,Caryophyllaceae
Silene laciniata,Mexican or Indian Pink,PH,Caryophyllaceae
Silybum marianum,Milk Thistle,AH,Asteraceae
Sisymbrium orientale,Eastern Mustard,AH,Brassicaceae
Sisyrinchium bellum,Blue-eyed Grass,PH,Iridaceae
Solanum douglasii,Douglas Nightshade,PH,Solanaceae
Solanum elaeagnifolium,Silverleaf Nightshade,S,Solanaceae
Solanum xanti,Chaparral Nightshade,S,Solanaceae
Sonchus asper,Prickly Sow-thistle,AH,Asteraceae
Sonchus oleraceus,Common Sow-thistle,AH,Asteraceae
Spartium junceum,Spanish Broom,S,Fabaceae
Stachys spp.,Hedge Nettles,PH,Lamiaceae
Stanleya pinnata,Desert Princesplume,PH/S,Brassicaceae
